Clash_ID,Date_Detected,Date_Resolved,Status,Priority,Clash_Type,Discipline_A,Element_Type_A,Element_ID_A,Discipline_B,Element_Type_B,Element_ID_B,Floor_Level,Zone,Grid_Location,Description,Clearance_Required_mm,Actual_Clearance_mm,Assigned_To,Resolution_Method,Resolution_Description,Cost_Impact,RFI_Number,Days_To_Resolve,Detection_Source,BIM_Model_Version
CLH-001,2025-07-14,2025-07-18,Resolved,Critical,Hard Clash,Mechanical,Supply Duct - 600x400,MECH-D-0312,Structural,Post-Tension Tendon,STR-PT-0145,5,Residential,C3-D4,Main supply duct routing directly through PT tendon zone in slab. Cannot core or modify PT layout.,150,0,Westcoast Mechanical,Design Revision,Rerouted duct below slab with bulkhead. Added 200mm ceiling depth reduction in corridor.,8500,RFI-042,4,BIM Coordination,v3.2
CLH-002,2025-07-14,2025-07-21,Resolved,Critical,Hard Clash,Electrical,Cable Tray - 300mm,ELEC-CT-0089,Structural,Concrete Beam,STR-BM-0067,4,Commercial,B2-B3,Electrical cable tray routed through 600mm deep concrete beam at column line B.,100,0,Cascade Electrical,Design Revision,Relocated cable tray to route under beam with 45-degree drop. Added junction box at transition.,3200,RFI-043,7,BIM Coordination,v3.2
CLH-003,2025-07-14,2025-07-16,Resolved,Major,Hard Clash,Mechanical,Exhaust Duct - 400x300,MECH-D-0298,Mechanical,Chilled Water Pipe - 100mm,MECH-P-0156,3,Commercial,A4-B4,Exhaust duct and chilled water pipe occupy same space at ceiling level in commercial tenant area.,75,0,Westcoast Mechanical,Coordination,Lowered chilled water pipe by 150mm. Adjusted hangers.,1200,,2,BIM Coordination,v3.2
CLH-004,2025-07-21,2025-07-25,Resolved,Critical,Hard Clash,Fire Protection,Sprinkler Main - 100mm,FP-SM-0034,Structural,Post-Tension Tendon,STR-PT-0178,6,Residential,D2-D3,Sprinkler main penetrating PT tendon band. Cannot sleeve through PT zone.,100,0,FireStop Systems,Design Revision,Rerouted sprinkler main around tendon band with additional elbow and 3m of pipe. Added head relocation.,4800,RFI-047,4,BIM Coordination,v3.3
CLH-005,2025-07-21,2025-07-23,Resolved,Minor,Clearance,Mechanical,Condensate Drain - 50mm,MECH-P-0201,Electrical,Conduit - 25mm EMT,ELEC-C-0334,5,Residential,C1-C2,Condensate drain and electrical conduit within 20mm - insufficient clearance for insulation.,50,20,Westcoast Mechanical,Coordination,Shifted condensate drain 40mm north. No other impacts.,0,,2,BIM Coordination,v3.3
CLH-006,2025-07-28,2025-08-04,Resolved,Critical,Hard Clash,Mechanical,Kitchen Exhaust Riser - 500x500,MECH-D-0345,Structural,Shear Wall,STR-SW-0012,Ground,Commercial,A2,Kitchen exhaust riser from commercial tenant conflicts with structural shear wall. 500mm penetration required through 300mm shear wall.,0,0,FormTech Structures,Design Revision,Structural engineer designed reinforced opening with steel header. Riser shifted 200mm east to miss main reinforcement.,15200,RFI-051,7,BIM Coordination,v3.3
CLH-007,2025-07-28,2025-07-30,Resolved,Major,Hard Clash,Plumbing,Sanitary Stack - 150mm,PLMB-S-0023,Mechanical,Supply Duct - 400x300,MECH-D-0367,8,Residential,D1,Sanitary stack and supply duct intersect at floor 8 ceiling space. Stack is gravity - cannot reroute vertically.,75,0,Westcoast Mechanical,Coordination,Rerouted supply duct with offset around stack. Added flex connection at offset.,2100,,2,BIM Coordination,v3.3
CLH-008,2025-08-04,2025-08-08,Resolved,Major,Clearance,Electrical,Bus Duct Riser,ELEC-BD-0005,Mechanical,Chilled Water Riser - 200mm,MECH-P-0089,12,Residential,B1,Bus duct and chilled water riser within 30mm in riser room. Insufficient clearance for maintenance access.,200,30,Cascade Electrical,Coordination,Shifted bus duct 200mm west within riser room. Updated supports on floors 8-16.,3600,,4,BIM Coordination,v3.4
CLH-009,2025-08-04,2025-08-06,Resolved,Minor,Clearance,Mechanical,VAV Box,MECH-VAV-0056,Electrical,Light Fixture,ELEC-LT-0412,7,Residential,C3,VAV box and recessed light fixture competing for same ceiling cavity space.,100,45,Cascade Electrical,Coordination,Relocated light fixture 300mm south. No architectural impact.,0,,2,BIM Coordination,v3.4
CLH-010,2025-08-11,2025-08-18,Resolved,Critical,Hard Clash,Plumbing,Storm Drain - 200mm,PLMB-SD-0008,Structural,Grade Beam,STR-GB-0034,P1,Parkade,E2-E3,Storm drain routing through parkade grade beam. Cannot penetrate without structural compromise.,0,0,Pacific Builders Ltd,Design Revision,Structural engineer designed reinforced sleeve through grade beam. Storm drain lowered 100mm with new invert.,9800,RFI-058,7,BIM Coordination,v3.4
