Incident_ID,Date,Time,Phase,Location,Floor_Level,Activity,Incident_Type,Severity,Description,Worker_Trade,Worker_Experience_Years,PPE_Compliant,Weather,Temperature_C,Immediate_Action,Root_Cause,Corrective_Action,Days_Lost,Near_Miss,Reported_To_WorkSafeBC,Subcontractor
SAF-001,2025-01-14,08:30,Preconstruction,Site Entrance,Ground,Mobilization,Near Miss,1,Delivery truck reversed without spotter near pedestrian walkway,Teamster,8,Yes,Clear,3,Stopped work - established traffic management plan,No traffic management plan in place,Implemented mandatory spotter protocol for all vehicle movements,0,Yes,No,Pacific Builders Ltd
SAF-002,2025-02-28,10:15,Substructure,Excavation Zone,P2,Excavation,Struck By,3,Worker struck by falling rock during excavation face trimming,Labourer,2,Yes,Rain,6,First aid administered - worker sent to hospital,Unstable rock face not adequately assessed,Installed rock bolts and mesh. Added geotechnical review before each excavation shift,5,No,Yes,GroundForce Excavating
SAF-003,2025-03-07,13:45,Substructure,Excavation Zone,P2,Shoring,Near Miss,1,Shoring strut showed excessive deflection during monitoring,Ironworker,12,Yes,Cloudy,8,Evacuated zone - engineer inspection,Settlement exceeding predictions due to adjacent water main,Added supplementary bracing. Increased monitoring frequency to hourly,0,Yes,No,GroundForce Excavating
SAF-004,2025-03-19,07:50,Substructure,Excavation Zone,P1,Dewatering,Environmental,2,Sediment-laden discharge detected in stormwater outfall,Labourer,3,Yes,Rain,7,Shut down dewatering. Installed emergency sediment bags,Filter system overwhelmed by overnight rainfall,Upgraded filtration capacity. Added turbidity monitoring at outfall,0,No,No,Pacific Builders Ltd
SAF-005,2025-04-11,11:20,Substructure,Foundation Area,P2,Piling,Noise Exposure,2,Noise levels exceeded 85 dBA during rock socket drilling without adequate monitoring,Pile Driver,6,Partial,Clear,12,Distributed hearing protection. Established noise monitoring,Drill rig louder than anticipated in rock conditions,Mandatory audiometric testing. Continuous noise monitoring posted at 3 locations,0,No,No,Deep Foundations Inc
SAF-006,2025-04-22,14:30,Substructure,Foundation Area,P1,Concrete Pour,Slip/Trip/Fall,2,Worker slipped on wet concrete splatter near pump hose connection,Labourer,1,Yes,Clear,14,First aid - minor knee abrasion,Housekeeping not maintained around pump area,Assigned dedicated housekeeping crew during all concrete pours,1,No,No,Pacific Builders Ltd
SAF-007,2025-05-15,09:10,Substructure,P2 Parkade,P2,Rebar Tying,Ergonomic,2,Rebar worker reported lower back strain from prolonged bending,Ironworker,4,Yes,Cloudy,13,Rotated worker to lighter duties,Repetitive bending without ergonomic aids,Provided rebar tying guns. Implemented mandatory rotation every 2 hours,3,No,No,Vancouver Rebar Co
SAF-008,2025-06-05,15:45,Substructure,Below Grade,P1,Waterproofing,Chemical Exposure,2,Waterproofing crew exposed to solvent fumes in confined parkade area,Waterproofer,5,Partial,Clear,18,Ventilation fans deployed. Crew moved to fresh air,Inadequate ventilation for solvent-based membrane application,Switched to water-based membrane system. Added continuous air monitoring,0,No,No,WetSeal Waterproofing
SAF-009,2025-07-02,10:30,Superstructure,Tower Core,3,Formwork,Fall from Height,4,Worker fell 2.5m from formwork platform - safety harness lanyard not connected,Carpenter,7,No,Clear,22,Emergency response activated. Worker hospitalized with fractured wrist and ribs,Worker detached lanyard to move between platforms. No intermediate anchor points,Installed retractable SRL system on all formwork platforms. Full safety stand-down and retraining for all crews,28,No,Yes,FormTech Structures
SAF-010,2025-07-10,08:00,Superstructure,Tower Core,4,Formwork,Near Miss,1,Formwork panel nearly dropped during crane lift - rigging sling showed wear,Carpenter,9,Yes,Clear,20,Stopped lift. Replaced sling. Inspected all rigging,Worn sling not caught in pre-shift inspection,Implemented colour-coded monthly sling inspection tags. Added rigging-specific toolbox talk,0,Yes,No,FormTech Structures
SAF-011,2025-07-28,13:00,Superstructure,Tower Perimeter,5,Core Walls,Falling Object,3,Concrete vibrator dropped from floor 5 edge - struck scaffold netting below,Labourer,2,Yes,Clear,25,Secured perimeter. Inspected netting - held but damaged,No tool tethering in place at slab edge,Mandatory tool tethering for all work above 3rd floor. Replaced scaffold netting,0,No,No,Pacific Builders Ltd
SAF-012,2025-08-18,11:30,Superstructure,Tower Core,8,Core Walls,Heat Stress,2,Two workers showed signs of heat exhaustion during afternoon concrete pour,Labourer,1,Yes,Clear,31,Moved to shade. Provided water and electrolytes. Monitored for 1 hour,Heatwave conditions - no adjusted work schedule,Implemented heat stress protocol: modified hours when humidex >35. Cooling stations on every 3rd floor,1,No,No,Pacific Builders Ltd
