Month,Period_End_Date,Month_Number,Phase,BCWS_Planned_Value,BCWP_Earned_Value,ACWP_Actual_Cost,SPI,CPI,SV_Schedule_Variance,CV_Cost_Variance,BAC_Budget_At_Completion,EAC_Estimate_At_Completion,VAC_Variance_At_Completion,TCPI,Cumulative_BCWS,Cumulative_BCWP,Cumulative_ACWP,Cumulative_SPI,Cumulative_CPI,Percent_Planned,Percent_Earned,Notes
Jan-2025,2025-01-31,1,Preconstruction,1200000,1180000,1150000,0.98,1.03,-20000,30000,82000000,82000000,0,1.00,1200000,1180000,1150000,0.98,1.03,1.5,1.4,Mobilization and site prep on track
Feb-2025,2025-02-28,2,Preconstruction,1800000,1650000,1700000,0.92,0.97,-150000,-50000,82000000,82500000,-500000,1.00,3000000,2830000,2850000,0.94,0.99,3.7,3.5,Permit delays - city review backlog
Mar-2025,2025-03-31,3,Substructure,3500000,3400000,3600000,0.97,0.94,-100000,-200000,82000000,83200000,-1200000,1.01,6500000,6230000,6450000,0.96,0.97,7.9,7.6,Excavation started - rock encountered at P2
Apr-2025,2025-04-30,4,Substructure,4200000,4000000,4350000,0.95,0.92,-200000,-350000,82000000,83800000,-1800000,1.01,10700000,10230000,10800000,0.96,0.95,13.0,12.5,Foundation piling slower than planned due to rock
May-2025,2025-05-31,5,Substructure,4800000,4600000,4750000,0.96,0.97,-200000,-150000,82000000,83500000,-1500000,1.01,15500000,14830000,15550000,0.96,0.95,18.9,18.1,P1 and P2 slabs progressing - minor cascading delay
Jun-2025,2025-06-30,6,Substructure/Superstructure,5200000,4400000,4600000,0.85,0.96,-800000,-200000,82000000,84200000,-2200000,1.01,20700000,19230000,20150000,0.93,0.95,25.2,23.5,Facade supplier failed QA testing - redesign initiated. Ground floor slab started.
Jul-2025,2025-07-31,7,Superstructure,6000000,5500000,5800000,0.92,0.95,-500000,-300000,82000000,84500000,-2500000,1.02,26700000,24730000,25950000,0.93,0.95,32.6,30.2,Core walls Fl 1-5 progressing. Facade redesign to unitized curtain wall ongoing.
Aug-2025,2025-08-31,8,Superstructure,6500000,6200000,6500000,0.95,0.95,-300000,-300000,82000000,84800000,-2800000,1.02,33200000,30930000,32450000,0.93,0.95,40.5,37.7,Formwork crew shortage resolved. Post-tension slabs started Fl 1-5.
Sep-2025,2025-09-30,9,Superstructure,6200000,5800000,6100000,0.94,0.95,-400000,-300000,82000000,85000000,-3000000,1.02,39400000,36730000,38550000,0.93,0.95,48.0,44.8,New facade system procurement complete - delivery scheduled Nov. Core walls Fl 6-12.
Oct-2025,2025-10-31,10,Superstructure,5800000,5600000,5850000,0.97,0.96,-200000,-250000,82000000,84900000,-2900000,1.02,45200000,42330000,44400000,0.94,0.95,55.1,51.6,Concrete pump breakdown - 2 days lost. Electrical switchgear install started.
Nov-2025,2025-11-30,11,Superstructure/Envelope,6400000,5200000,5500000,0.81,0.95,-1200000,-300000,82000000,85200000,-3200000,1.03,51600000,47530000,49900000,0.92,0.95,62.9,58.0,Curtain wall install delayed - facade delivery 3 weeks late from new supplier. Interior finishes started Fl 1-5.
Dec-2025,2025-12-31,12,Superstructure/Envelope,5600000,5000000,5300000,0.89,0.94,-600000,-300000,82000000,85500000,-3500000,1.03,57200000,52530000,55200000,0.92,0.95,69.8,64.1,Core walls topped out Fl 21. Curtain wall Fl 1-8 progressing. Fire protection started.
Jan-2026,2026-01-31,13,Envelope/Interior,5400000,5100000,5400000,0.94,0.94,-300000,-300000,82000000,85600000,-3600000,1.03,62600000,57630000,60600000,0.92,0.95,76.3,70.3,Curtain wall Fl 1-8 complete. Interior finishes Fl 6-12 started. BAS install began.
Feb-2026,2026-02-28,14,Envelope/Interior,5200000,4900000,5200000,0.94,0.94,-300000,-300000,82000000,85700000,-3700000,1.04,67800000,62530000,65800000,0.92,0.95,82.7,76.3,Curtain wall Fl 9-16 progressing. Roofing complete. Elevator install at 78%.
Mar-2026,2026-03-31,15,Envelope/Interior,5000000,4600000,4900000,0.92,0.94,-400000,-300000,82000000,85900000,-3900000,1.04,72800000,67130000,70700000,0.92,0.95,88.8,81.9,Curtain wall Fl 17-25 at 65%. Interior finishes Fl 13-21 started. Commissioning planning underway.
Apr-2026,2026-04-30,16,Interior/Closeout,4800000,,,,,,,,82000000,,,77600000,,,,,93.7,,Planned: Commissioning MEP systems. Landscaping start. Interior finishes ongoing.
May-2026,2026-05-31,17,Closeout,3200000,,,,,,,,82000000,,,80800000,,,,,97.6,,Planned: Commissioning complete. Deficiency walkthrough. Final inspections.
Jun-2026,2026-06-30,18,Closeout,1200000,,,,,,,,82000000,,,82000000,,,,,100.0,,Planned: Occupancy permit. Owner handover. Project closeout.
